id,len,0,1,2,3,4,5,6,7,time
000003FE,8,12,00,00,09,66,00,00,00,236.252670
0000040B,8,17,02,AC,D0,80,00,00,00,236.253690
0000040C,8,14,00,00,02,93,00,00,00,236.254630
0000040C,8,15,00,00,09,66,00,00,00,236.255650
000003FF,8,06,00,00,54,D3,00,00,00,236.256680
000003FF,8,07,00,00,0D,98,00,00,00,236.257700
000003FF,8,08,00,00,10,D6,00,00,00,236.258730
000003F6,8,18,44,00,00,00,00,00,00,236.262050
00000722,8,FF,00,3C,00,00,01,00,01,236.332030
000007BE,8,00,04,2D,21,01,08,00,00,236.342270
000003E9,8,17,00,01,5B,50,00,00,00,236.343210
000003F0,8,0B,01,02,39,36,00,00,00,236.346960
000003FF,8,05,00,00,56,BD,00,00,00,236.381610
000007C0,8,00,04,3A,01,03,00,00,00,236.450640
000007BD,8,00,04,3A,00,00,00,00,00,236.451660
000003F6,8,18,48,00,00,00,00,00,00,236.461990
000003FF,8,05,00,00,56,C0,00,00,00,236.480680
000003E9,8,17,00,01,5C,63,00,00,00,236.542290
000003FE,8,08,00,00,00,00,00,00,00,236.561660
00000405,8,15,00,00,03,34,00,00,00,236.562680
00000405,8,16,00,00,AF,31,00,00,00,236.563620
000003FE,8,11,00,00,02,93,00,00,00,236.564730
000003FE,8,12,00,00,09,B4,00,00,00,236.565670
0000040A,8,15,00,0C,83,20,00,00,00,236.566690
0000040B,8,17,02,AC,5B,50,00,00,00,236.567630
0000040C,8,14,00,00,02,6D,00,00,00,236.568570
0000040C,8,15,00,00,09,B4,00,00,00,236.569590
0000040F,8,15,00,00,00,01,00,00,00,236.570620
000003FF,8,06,00,00,54,D6,00,00,00,236.571640
000003FF,8,07,00,00,0D,98,00,00,00,236.572670
000003FF,8,08,00,00,10,D6,00,00,00,236.573690
0000040E,8,0A,00,00,00,2F,00,00,00,236.574630
000003FE,8,10,00,00,00,02,00,00,00,236.575650
0000040B,8,18,FF,FF,D8,F0,00,00,00,236.576680
000003FF,8,05,00,00,56,BF,00,00,00,236.579660
00000722,8,FF,63,02,01,21,01,08,0A,236.642210
000003F6,8,18,4C,00,00,00,00,00,00,236.662010
000003FF,8,05,00,00,56,C0,00,00,00,236.681640
000003EE,8,09,00,08,45,30,00,00,00,236.742310
000003EE,8,0A,00,08,45,30,00,00,00,236.747000
000003EE,8,15,00,08,83,B0,00,00,00,236.752040
000003EE,8,16,00,08,83,B0,00,00,00,236.756990
000003FF,8,05,00,00,56,BC,00,00,00,236.789670
000007BE,8,00,04,2D,21,01,08,00,00,236.842230
000003F6,8,18,50,00,00,00,00,00,00,236.862030
00000405,8,16,00,00,AF,13,00,00,00,236.870570
000003FE,8,11,00,00,02,6D,00,00,00,236.871590
000003FE,8,12,00,00,09,66,00,00,00,236.872530
0000040B,8,17,02,AB,E6,20,00,00,00,236.873550
0000040C,8,14,00,00,02,6D,00,00,00,236.874580
0000040C,8,15,00,00,09,66,00,00,00,236.875510
0000040F,8,15,00,00,00,00,00,00,00,236.876620
000003FF,8,06,00,00,54,DC,00,00,00,236.877650
000003FF,8,07,00,00,0D,98,00,00,00,236.878590
000003FF,8,08,00,00,10,E0,00,00,00,236.879610
000003FF,8,05,00,00,56,BD,00,00,00,236.891560
000003E9,8,17,00,01,5B,DA,00,00,00,236.942250
000003F0,8,0B,01,03,31,30,00,00,00,236.947020
000007C0,8,00,04,3A,01,03,00,00,00,236.951630
000007BD,8,00,04,3A,00,00,00,00,00,236.952570
000003F6,8,18,54,00,00,00,00,00,00,237.062050
000003FF,8,05,00,00,56,BE,00,00,00,237.092600
00000722,8,FF,63,02,01,21,01,08,0A,237.142270
000003EA,8,18,00,00,00,CF,00,00,00,237.143210
000003E9,8,17,00,01,5C,ED,00,00,00,237.144230
000003FE,8,08,00,00,00,01,00,00,00,237.179560
00000405,8,16,00,00,AE,FF,00,00,00,237.180580
000003FE,8,11,00,00,02,93,00,00,00,237.181520
000003FE,8,12,00,00,09,66,00,00,00,237.182540
0000040B,8,17,02,AB,70,F0,00,00,00,237.183570
0000040C,8,14,00,00,02,6D,00,00,00,237.184510
0000040C,8,15,00,00,09,66,00,00,00,237.185530
0000040F,8,15,00,00,00,01,00,00,00,237.186550
000003FF,8,06,00,00,54,D8,00,00,00,237.187580
000003FF,8,07,00,00,0D,A2,00,00,00,237.188600
000003FF,8,08,00,00,10,E0,00,00,00,237.189540
00000405,8,17,00,00,11,44,00,00,00,237.190570
000003FF,8,05,00,00,56,BB,00,00,00,237.194580
000003F6,8,18,58,00,00,00,00,00,00,237.262070
000003FF,8,05,00,00,56,BC,00,00,00,237.299540
000007BE,8,00,04,2D,21,01,08,00,00,237.342290
000003E9,8,17,00,01,5B,50,00,00,00,237.343230
000003F0,8,0B,01,04,32,37,00,00,00,237.346980
000003FF,8,05,00,00,56,BD,00,00,00,237.401510
00000404,8,11,00,00,00,01,00,00,00,237.402530
000003F9,8,0A,00,00,00,00,00,00,00,237.447080
000007C0,8,00,04,3A,01,03,00,00,00,237.449550
000007BD,8,00,04,3A,00,00,00,00,00,237.450580
000003F6,8,18,5E,00,00,00,00,00,00,237.462010
000003FE,8,08,00,00,00,00,00,00,00,237.491540
00000405,8,16,00,00,AE,E1,00,00,00,237.492470
000003FE,8,11,00,00,02,6D,00,00,00,237.493500
000003FE,8,12,00,00,09,66,00,00,00,237.494520
000003FE,8,13,00,00,13,69,00,00,00,237.495550
0000040A,8,0C,00,00,00,00,00,00,00,237.496490
0000040A,8,0D,00,00,00,00,00,00,00,237.497510
0000040A,8,0E,00,00,00,00,00,00,00,237.498530
0000040B,8,10,00,00,00,00,00,00,00,237.499560
0000040B,8,11,00,00,00,00,00,00,00,237.500500
0000040B,8,12,00,00,00,00,00,00,00,237.501520
0000040B,8,15,FF,FF,FF,FE,00,00,00,237.502540
0000040B,8,16,FF,FF,FC,18,00,00,00,237.503570
0000040B,8,17,02,AB,22,D0,00,00,00,237.504510
